country,city,airport,IATA_code,passengers_19,total_passengers_19,destinations_19,n_flights_19,co2_scope_1_19,co2_scope_2_19,co2_scope_3_19,passengers_20,total_passengers_20,destinations_20,n_flights_20,co2_scope1_20,co2_scope2_20,co2_scope3_20,passengers_21,total_passengers_21,destinations_21,n_flights_21,co2_scope1_21,co2_scope2_21,co2_scope3_21,longitude,latitude,,source,comment,,,,
Switzerland,Bern,Bern Airport,BRN,0.030,,5,7021,2105,10527,4519,0.01,,4,5848,,,,0.02,,12,7141,,,,7.499167,46.912222,,"annual report 2021, 2019
CO2 scopes 1+2 by ChatGPT",scope3 based on Rome data,,,,
Switzerland,Genève,Genève Aéroport,GVA,17.756,,149,170412,1175,5876,215970,5.59,,147,73065,,,,5.90,,137,83379,,,,6.1090888,46.2369794,,"annual report 2019
2020
2021",number in scope 1 and 2 is total (1+2),,,,
Switzerland,Zürich,Zürich Airport,ZRH,31.508,,160,242717,26218,1632,4230902,8.30,,,80555,26284,1212,1544551,10.18,,177,94012,32632,19,1641745,8.5534976,47.4612352,,"annual report 2019, 2021
report
co2 emissions
co2 for 2019",destinations - ChatGPT,,,,
France,Saint-Louise,EuroAirport Basel-Mulhouse-Freiburg,BSL ,9.087,,113,81500,3998,7545,24463,2.60,,96,32600,,,,3.62,,96,40900,,,,7.5258988,47.597286,,"annual report 2019
annual report 2021
annaul report 2022
CO2 scopes 1+2 by ChatGPT",scopes - ChatGPT,,,,
France,Paris,Paris Charles de Gaulle Airport,CDG,76.200,,328,498000,39382,2085,1529259,22.30,,,,40937,547,596132,26.20,,251,,52939,12006,7052969,2.5507715,49.0078597,,"
https://www.parisaeroport.fr/en/group/strategy/airport-network/paris-charles-de-gaulle-airport#:~:text=The%20main%20airlines%20operating%20from,Gaulle%20airport%20serve%20325%20cities.
Traffic data 
Orly countries served
CO2 emissions 2019 paris
CO2 emissions 2021 paris
CO2 emissions 2020 paris
Destinations Paris, no date","For 2021, data for co2 only available for Paris Aeroports (CDG + ORLY combined); a ratio of the 2019 emissions of CDG to ORLY was used and applied to 2021 to split the data between the two airports for each scope respectively 

Ex. 2019 scope 1, CDG airport represented 0.845071027%  of CDG + ORLY SCOPE 1emissions --> apply that to scope 1 emissions for 2021, etc. 
2019 scope 2 CDG --> 0.9320518552 of CDG+ORY SCOPE 2
2019 scope 3 CDG --> 0.7665132062 of CDG+ORY SCOPE 3

Destinations 2021 based on current website, don't know date. Ratio for most recent unknown, used the one of 2019 which is known

used market based for scope 2 emissions
scope 3 includes LTO cycle only for uniform data with other airports",,,,
France,Paris,Paris-Orly Airport,ORY,31.900,,128,54646,7220,152,465826,10.80,,,,7187,180,168457,15.70,,97.95,,9706,875,2148397,2.3652422,48.7262321,,,,,,,
France,Marseille,Marseille Provence Airport,MRS,10.152,,124,83000,456,2279,105161,,,,,,,,,,,,,,,5.2214,43.4393,,"flights - GPT
scope 1+2","scope 1+2
scope 3 based on GVA",,,,
France,Toulouse,Toulouse–Blagnac Airport,TLS,9.600,,92,78489,2586,2568,78490,,,,,,,,,,,,,,,1.3638,43.6291,,,all based on MRS,,,,
France,Bordeaux,Bordeaux-Merignac Airport,BOD,7.679,,163,62787,2069,2069,62788,,,,,,,,,,,,,,,-0.7003,44.8304,,"pass, destinations",all based on MRS,,,,
Germany,Frankfurt,Frankfurt airport,FRA,70.561,,306,513912,37100,133210,1570000,18.77,,,212235,,,,,,,261927,,,,8.562158,50.0380192,,"sustainability report (incl. dest)
frankfurt co2 2019
Air traffic 2019
Air traffic 2020
Air traffic 2021",,,,,
